red,nodo,grado
bipartita,UCQM2tCKRRytVDRxNUfCDqQQ,1
bipartita,UCQMMuADgqWUOcJpLwHOzC-g,1
bipartita,UCQ_-LPP8JAbfkc-b1Q6NvWw,1
bipartita,UCQgYjVngJRfPHDLGB5X6ZjA,1
bipartita,UCQqetiwzzmRNTM5OWuXarGQ,1
bipartita,UCQqlPPUGqAfWjd-FSh_qn7Q,1
bipartita,UCQtICyzWmhC5woCtbNgaSmg,1
bipartita,UCQtSFINs1h6GHkpg9o5kMvg,1
bipartita,UCQyOePccUP-fIJYzchAgZYw,1
bipartita,UCRAquv8el-tQ30bN7MlmySQ,1
bipartita,UCRETAiYdh2dL5ZxB0_N1zDA,1
bipartita,UCRcSR3Lvn9DZAmJpVPANfZQ,1
bipartita,UCRelkU8JiZBytTzebJxaa-w,1
bipartita,UCRfkkatKrNtAARnXMMYBGlA,1
bipartita,UCRlCV9zSn7avAWh-9_XFWqQ,1
bipartita,UCRvPToDkkumha7WJAfCDk1A,1
bipartita,UCRznz9-N3Qc1w-qNdLSIY2Q,1
bipartita,UCSTAUWVc1_82DHYeqOsqEFA,1
bipartita,UCSou6a2OuYGSvPjm5psquyA,1
bipartita,UCTD6q1nyIe3Y7HhqjaMj72w,1
bipartita,UCTP3O0rMnc8z8v8jaDQwL0w,1
bipartita,UCTTILH6QCIxbTnEWxwRqs1g,1
bipartita,UCThW2XNsAaBKme5PUt7n-Zg,1
bipartita,UCTwSut16JyAg3mX6LVUNGqA,1
bipartita,UCTylKrsqkrBKIqubMu_5N0Q,1
bipartita,UCUIIIPTVDVHAXqhC_5V6lPA,1
bipartita,UCUoYsrx1oZnCZ0usbBJn4fA,1
bipartita,UCV0iizTBoOfdAFX_thfI9BA,1
bipartita,UCV0lM03g5fg5pbPj97-sAtA,1
bipartita,UCV3fr-YOixFKCZBbJP1-X4w,1
bipartita,UCVC2QugcI1G4RvlCiUqd1aQ,1
bipartita,UCVQf0tzL7xRzFJsABVVULpg,1
bipartita,UCVdjCrh4tQoX3haNAZv-n5A,1
bipartita,UCVhif9eV0f8plICen2DnpKA,1
bipartita,UCW-JC6lebVmf2P1dmY_L94g,1
bipartita,UCW80DaMjQlEUibC98Cot-Dg,1
bipartita,UCWIZUtKJ636y-4TYrNvok0g,1
bipartita,UCWWkebAekppaL5b5CNlppuw,1
bipartita,UCWaRixDdpgllTBf4V0jPnKQ,1
bipartita,UCWoAVGVqCn4xtINCMOTM4jg,1
bipartita,UCWvntqPQx99k_Z_skWKqNSA,1
bipartita,UCXN2s7DwTJm33xO-pNkAdaA,1
bipartita,UCXO1BBohNWXkK9SBDAG2ySg,1
bipartita,UCXSkL3ejZ8qWYyF_M7s_QKA,1
bipartita,UCXVLc8CmAO813ubM-fLvCDw,1
bipartita,UCXXh7yg5KUFIWylTiKVEFKQ,1
bipartita,UCXgr7vXlRrsaskPdo097kGA,1
bipartita,UCXl30Y_upRqbti52fmjK4YA,1
bipartita,UCXmrpc6Li0spcKxtS0Q_ptg,1
bipartita,UCXr8_5WtGeipe4haOoQDgyQ,1
bipartita,UCY7Hq7F9Lnucf-Yr6JkHZNw,1
bipartita,UCYN4wSQ1Sx4_LurxLlW7MPg,1
bipartita,UCYwpX26TrCxq8TvbKGRYLXA,1
bipartita,UCZ51R_9Q9C0c8I3pAWhtmjQ,1
bipartita,UCZFQwqh90apuL8eFhvRBkUg,1
bipartita,UCZIQnb1fkwe39Iw2TAu-bGA,1
bipartita,UCZLG9qH0tUjNhEGFIUt0CYw,1
bipartita,UCZOmq6MwFDVoCaEl99BRRaw,1
bipartita,UCZeIIQrGAedW8tCbKWmGY-A,1
bipartita,UCZjm6U576nX8WOiLhmMR3bw,1
bipartita,UC_3xuTXvMIWU5MYP9HkJ3vQ,1
bipartita,UC_6KbBY1bsYXz9fwFS0eQRg,1
bipartita,UC_LYoGs5C3mbZKZuKuqYCvw,1
bipartita,UC_NRVt2UP88ZNTwzrZ66JSg,1
bipartita,UC_ljZ1hZXR9pzexFz87P5ZA,1
bipartita,UCa36MjQLoPAmgJo-R3G8WQA,1
bipartita,UCaKAjTW9MVub_clgr4DRYjQ,1
bipartita,UCaT4saRcyqCLE657Rq2hhZQ,1
bipartita,UCaT6M2zp7X6r6Whd8Vv3kHQ,1
bipartita,UCat2qkYvqmtDNEmo2PVuhXw,1
bipartita,UCbNanjFI51cwGqMAb2rOrBw,1
bipartita,UCbYoNG5J3Au5BqtbXogfEFw,1
bipartita,UCbrtvygfRT6QXqWDNrOf-cA,2
bipartita,UCcFIBN-rtC3d3hXeuN5TfWw,1
bipartita,UCc_F88PzGWtA1OPNUEASulA,1
bipartita,UCcfdg8crmMJwEuLUsAhV7yg,1
bipartita,UCdFlugHJJa4l3YqWuNRmvXw,2
bipartita,UCdQAuWwyC99MB7Y02Umj26Q,1
bipartita,UCe8JZoYkX5oKUZyivHYdXhw,1
bipartita,UCeDNEtI8_a42bZ47wJiJMwQ,1
bipartita,UCeQk-WfEA-cJRq4EKeE7TOw,1
bipartita,UCefAH1MbvADWUjE9WVcB9EQ,1
bipartita,UCf5lnNZF7Qrtli9v4N_23WQ,1
bipartita,UCfM3nrxtTQMY5jFx1v1J4Gg,1
bipartita,UCfRqgt2O-vjzUDMZY_tnxQw,1
bipartita,UCfXykdbSU97rj987LDUGfvg,1
bipartita,UCfjhejO7LZy4doXURa7LZCQ,1
bipartita,UCfo_yUPzy1f1POwwZxhZ06Q,1
bipartita,UCg3eIfd7BrsLEqS0BLkftHA,1
bipartita,UCgGqw4aqMdMVSGkKiMgrJRQ,1
bipartita,UCgJNFj5dnxXpcMvmuhZDPxA,1
bipartita,UCgLrWFdYitoP-b7-PxtUr-w,1
bipartita,UCgLurCo-e019HGODcjXHWCw,1
bipartita,UCgQJgI9vu1FI2dnC9mrFthw,1
bipartita,UCgQw_Sbq3ugruDUKsq1e0-A,1
bipartita,UCgvw7xIdGFupzpt1Y_BFkEA,1
bipartita,UCh5ESQvtzyHDhCA7XyekCFA,1
bipartita,UChT7pzGytNd92Nmvi-zuWog,1
bipartita,UChZknRmJkeGeQk0-mQuhDOg,1
bipartita,UCheEJ5GZuIvV0fj-nXyVwXw,1
bipartita,UChep9kVb5gQmpodEEl10Xlg,1
bipartita,UChgkn5Jt5tWKYMoEOuCjz3Q,1
bipartita,UChs3tU2BcKOT0CezykvAsGw,1
bipartita,UChyps3dqY-VY1_wLeq-2lhw,1
bipartita,UCi-vPdnpQreC7BkFs40mJGA,1
bipartita,UCi1b_TRQfgO1Z9O2gNGGWNA,1
bipartita,UCi2KiZq63sRq8Mfbcp-MelQ,1
bipartita,UCiC-Jn7wdgyQV4_Urk0DkWQ,1
bipartita,UCiGRBf2RNF0WRKhRVT7zFoA,1
bipartita,UCiMythXHsw7eQEMykCdmMUA,1
bipartita,UCiOZX__1gahg1ypIj0_XG_w,1
bipartita,UCipetjeiWj4CZB6EbyYziZg,1
bipartita,UCj-LL25XJnjxepPKCc3NGog,1
bipartita,UCjJf-AJKRFFWtiN-CSwkDmA,1
bipartita,UCjSKM9j0Q7HLDr1hD6D-TUw,1
bipartita,UCjZgFEowMBrsjodqfovzdKw,2
bipartita,UCjmPuazZJzscrwvk0QR9RVw,1
bipartita,UCk4O-J1BhoqPmig1KLGJePA,1
bipartita,UCkVtmkK07b2zaVVNssX4lOg,1
