red,nodo,tipo,grado,aislado
bipartita,UCyzf29IYjNw67gGIfsjgtxA,autor,1,False
bipartita,UCz3gu01bmjNv0DpRq-K3XYg,autor,1,False
bipartita,UCzSfZlOVxBSs5ObD25ywxDQ,autor,1,False
bipartita,UCzoL2l5H5eVlorWGH8AZfAg,autor,1,False
bipartita,UhL9y3KUl8E,video,1,False
bipartita,X_FAIef8qlE,video,1,False
bipartita,s0eco-BofOs,video,1,False
bipartita,zweosulrwA8,video,1,False
autor-autor,UC6xI_MOaxajIWpoP8BH6E_Q,autor,0,True
autor-autor,UCJxJC56BSAX-ArD0NAb9qnQ,autor,1,False
autor-autor,UCPLW0HE3siElqCgXfgWxMqg,autor,0,True
autor-autor,UCQM2tCKRRytVDRxNUfCDqQQ,autor,0,True
autor-autor,UC_NRVt2UP88ZNTwzrZ66JSg,autor,0,True
autor-autor,UCyor0Mmm0ivLX2jIdyGp84Q,autor,1,False
video-video,06mFNPU0aB8,video,1,False
video-video,3Nfp9h5avBI,video,0,True
video-video,JkpVO1hx2f8,video,0,True
video-video,OkXlHx0hx-8,video,0,True
video-video,TT4qJ5FXHYE,video,0,True
video-video,UhL9y3KUl8E,video,0,True
video-video,X_FAIef8qlE,video,0,True
video-video,b_Hkrkl3adA,video,1,False
video-video,is3Mk5oC19g,video,1,False
video-video,lj983NWyAQY,video,0,True
video-video,s0eco-BofOs,video,0,True
video-video,zweosulrwA8,video,0,True
